process_count,thread_count,requests_per_second,time_per_request_ms,transfer_rate_kbps,p50_latency_ms,p90_latency_ms,p99_latency_ms
1,1,17.19,5816.474,15.06,5815,5840,5853
1,2,32.75,3053.027,28.69,3010,3040,3052
1,4,59.23,1688.301,51.89,1635,1662,1671
1,8,110.74,903.03,97.0,848,913,926
1,16,201.75,495.674,176.72,467,543,552
1,32,236.59,422.665,207.25,281,360,397
1,64,197.27,506.924,172.8,253,263,3173
2,1,34.43,2904.552,30.16,2898,2919,2932
2,2,66.43,1505.424,58.19,1494,1508,1523
2,4,118.88,841.192,104.14,795,852,868
2,8,217.75,459.233,190.75,415,483,490
2,16,234.52,426.394,205.44,223,293,314
2,32,324.99,307.7,284.68,175,189,201
2,64,232.75,429.646,203.88,107,127,2990
4,1,69.1,1447.249,60.53,1440,1454,1462
4,2,126.55,790.188,110.86,742,798,805
4,4,263.68,379.249,230.98,360,409,436
4,8,463.99,215.524,406.44,196,223,265
4,16,783.02,127.711,685.91,140,149,171
4,32,554.67,180.286,485.88,84,110,301
4,64,1154.29,86.633,1011.13,69,99,138
8,1,136.05,735.005,119.18,712,765,772
8,2,269.11,371.59,235.74,347,397,418
8,4,545.74,183.238,478.05,169,184,215
8,8,695.05,143.874,608.85,99,112,158
8,16,1339.56,74.651,1173.43,57,95,113
8,32,1069.57,93.496,936.92,57,89,125
8,64,1254.77,79.696,1099.15,64,88,128
16,1,260.86,383.344,228.51,366,416,447
16,2,544.19,183.76,476.7,164,199,213
16,4,978.83,102.162,857.44,90,107,171
16,8,1079.65,92.622,945.75,53,87,127
16,16,1456.31,68.667,1275.69,54,72,111
16,32,1057.35,94.576,926.21,57,88,144
16,64,919.6,108.743,805.54,67,116,150
32,1,554.23,180.429,485.5,161,191,209
32,2,1048.39,95.385,918.36,82,94,145
32,4,1093.13,91.481,957.55,53,78,132
32,8,1056.9,94.616,925.82,54,88,131
32,16,1073.88,93.12,940.69,55,121,264
32,32,939.36,106.456,822.85,64,147,263
32,64,894.94,111.74,783.94,90,159,292
64,1,1024.04,97.653,897.03,84,94,164
64,2,1404.07,71.222,1229.93,53,81,159
64,4,1041.77,95.991,912.56,53,94,146
64,8,1034.15,96.698,905.89,56,104,162
64,16,681.92,146.645,597.34,67,280,303
64,32,482.5,207.256,422.65,186,290,302
64,64,354.89,281.774,310.88,293,312,466
